,address,has_ens,ens_count,has_defi_transactions,count_defi_transactions,had_activity_before_december_2022,count_activity_before_december_2022,had_activity_after_december_2022,count_activity_after_december_2022
6743,0xb3cf72ed7e00f32d212d29d92820875ba3631632,NO,0,NO,0,no,0,no,0
6760,0xcc8f292a8f8b6190518f38727ccba6cd464b70f9,NO,0,NO,0,no,0,no,0
6832,0xc6eaf98151a2b5c4baf759ce907e0065aa1bf111,NO,0,NO,0,no,0,no,0
6856,0x53d5b183e5b8aa9621d39ee993618a2c297f1d2e,NO,0,NO,0,no,0,no,0
6870,0x406993240bc242b37c778d0bdb2db9fca4c9d049,NO,0,NO,0,no,0,no,0
6910,0x4a3e96c39675dd100f5ba21d64fe135b71cdcee9,NO,0,NO,0,no,0,no,0
7012,0xadf9b6aeae13ad6cfc1acebc6f532dcea1a05058,NO,0,NO,0,no,0,no,0
7052,0xa359311c4dc2b61e197186c4191b7889f988babd,NO,0,NO,0,no,0,no,0
7096,0x648a6b1332c705197b9691da2e423a595787bb12,NO,0,NO,0,no,0,no,0
7148,0x13f293039399e7ba14d8a9be1e9c2a2d87249db4,NO,0,NO,0,no,0,no,0
7235,0x381e612aa32b53c868cc908586c349a236c1251d,NO,0,NO,0,no,0,no,0
7246,0x8f04c21f04ffd1293041d69ad889014326582b61,NO,0,NO,0,no,0,no,0
7304,0xac5b0b0bdb3ca90e208e8e06f8a10200b0a88194,NO,0,NO,0,no,0,no,0
7323,0x70d5ce50ea5e5c428bf46b14e299ee2b2d3d41b6,NO,0,NO,0,no,0,no,0
7341,0x346914e2a8ec5edb60b4a2004efb23d16038e511,NO,0,NO,0,no,0,no,0
7351,0x775fd6e7424ddcf595dfb8815df36cf1c7637cff,NO,0,NO,0,no,0,no,0
7373,0x16c032f32380557901db5524f3bff5061ca28a3a,NO,0,NO,0,no,0,no,0
7460,0x5879c9ad534b5b9acf47ed0d33a946de46877ac4,NO,0,NO,0,no,0,no,0
7526,0xbd2057cc41add2063f7502ffcf6267c24e4a70af,NO,0,NO,0,no,0,no,0
7555,0x742d8747c83638727366714467ce1bfa4665ae35,NO,0,NO,0,no,0,no,0
7640,0x0803502669d566c923a9e0ade9721d0c5ead2c93,NO,0,NO,0,no,0,no,0
7649,0x9191e2d38d8d533811aac93361431882e2005d22,NO,0,NO,0,no,0,no,0
7703,0x97dd9dc683cd8bb4b2536de551b214102b5520d0,NO,0,NO,0,no,0,no,0
7735,0x6925cebab80636d5614a021adfaab14db3647422,NO,0,NO,0,no,0,no,0
7791,0xf89fb292a49dc4c3d59393e2cdad4142ea3f78a6,NO,0,NO,0,no,0,no,0
7854,0x04be1ba8d27863dc563d04905cb7638666b031e4,NO,0,NO,0,no,0,no,0
7857,0xf80382262efe7b4fb4abf18032505f15a9dbbd7b,NO,0,NO,0,no,0,no,0
7905,0x3e0877066fbf3d764b2217d937bb31c970d34f2e,NO,0,NO,0,no,0,no,0
7916,0x383cc0d1be6069efcb042d9f18c038cb3701205d,NO,0,NO,0,no,0,no,0
